s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	id
838.6540	0:13:58	1695.50	2150.08	323.60	443.14	8.04	0.00	98.15	823.53	SRR1976948.tsv
832.1352	0:13:52	1443.20	2427.57	697.78	704.33	0.00	0.00	99.46	828.10	SRR1976948.tsv
686.2310	0:11:26	1953.95	2044.59	394.34	1148.39	0.00	0.00	98.75	678.20	SRR1976948.tsv
832.5782	0:13:52	1694.20	2042.76	200.61	435.52	32.86	0.00	95.98	799.42	SRR1977249.tsv
834.7484	0:13:54	1409.79	2141.67	300.36	434.86	0.00	0.00	99.09	827.69	SRR1977249.tsv
741.5118	0:12:21	2237.12	2328.63	2224.75	2228.26	0.00	0.00	99.27	736.40	SRR1977249.tsv
699.6473	0:11:39	1955.33	2058.96	309.68	607.75	1635.86	0.00	95.97	671.84	SRR1977296.tsv
711.3974	0:11:51	1797.46	2217.43	533.68	796.35	0.00	0.00	98.35	700.06	SRR1977296.tsv
706.4990	0:11:46	1288.01	2055.70	473.87	693.25	0.00	0.00	94.78	669.99	SRR1977296.tsv
789.4643	0:13:09	1785.13	2065.78	244.53	485.88	28.23	0.00	96.90	765.23	SRR1977304.tsv
785.4302	0:13:05	1547.13	2065.78	309.30	470.10	0.00	0.00	97.78	768.55	SRR1977304.tsv
738.4226	0:12:18	1730.73	2066.28	355.07	844.56	0.00	0.00	95.80	707.77	SRR1977304.tsv
740.6446	0:12:20	1834.17	2049.08	215.82	488.54	111.62	0.00	95.77	709.76	SRR1977357.tsv
747.3075	0:12:27	1516.75	2034.51	270.48	468.00	0.00	0.00	97.60	729.60	SRR1977357.tsv
742.3240	0:12:22	1563.53	2091.84	298.18	628.44	0.00	0.00	99.15	736.22	SRR1977357.tsv
762.3816	0:12:42	1797.61	2046.41	215.77	469.90	26.78	0.00	96.32	734.70	SRR1977365.tsv
764.9230	0:12:44	1549.08	2036.41	256.35	510.01	0.00	0.00	96.39	737.76	SRR1977365.tsv
742.4733	0:12:22	1698.34	2107.18	372.39	751.31	0.00	0.00	98.56	732.12	SRR1977365.tsv
